Seed: 487771846
M = [0, 1, 3]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-20.1406101971, -19.5566715817)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-19.5566715817, -19.3582033629)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-19.3582033629, -19.0452627146)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-19.0452627146, -18.1165502255)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-18.1165502255, -18.0440217383)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-18.0440217383, -17.802167458)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-17.802167458, -17.5110692239)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-17.5110692239, -17.3060919775)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-17.3060919775, -16.0356959377)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-16.0356959377, -14.9465386185)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-14.9465386185, -14.2774868887)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-14.2774868887, -13.8137629715)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-13.8137629715, -13.3463793285)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-13.3463793285, -13.148782102)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-13.148782102, -12.9710166575)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.9710166575, -12.9567035307)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.9567035307, -12.7129227996)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.7129227996, -12.6678773864)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.6678773864, -12.6238954614)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.6238954614, -12.5664380509)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.5664380509, -12.486407765)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.486407765, -12.3410647042)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.3410647042, -12.2235853335)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.2235853335, -12.069016737)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-12.2235853335, -11.9879081853)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-11.9879081853, -11.5271748716)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-11.9879081853, -11.0605764992)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-11.5271748716, -11.0076650356)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-11.0076650356, -10.9602331504)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-10.9602331504, -10.3655185316)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-10.512300065, -9.6738645338)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-10.512300065, -9.0510419661)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-9.0510419661, -9.0001968048)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-9.0510419661, -8.7278178784)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-8.7278178784, -7.7448446562)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-8.124135336, -7.5955851895)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-7.5955851895, -7.5443479591)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-7.5443479591, -7.3565147204)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-7.3565147204, -7.1315377788)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-7.1315377788, -6.8798803053)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.8798803053, -6.7570981005)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.7570981005, -6.6677559886)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.6677559886, -6.4784727069)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.4784727069, -6.4414350636)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.4414350636, -6.2050558629)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.2050558629, -6.2015491825)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.2015491825, -6.1780445081)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.1780445081, -6.0506290882)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.0506290882, -6.0369392202)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.0369392202, -6.0283689803)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-6.0283689803, -5.9462428784)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-5.9462428784, -5.6782050925)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-5.6782050925, -5.6470680617)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-5.6470680617, -5.5230628998)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-5.5230628998, -5.3161090654)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-5.3671757528, -5.2170940505)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-5.2170940505, -4.813107077)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-4.813107077, -4.3296424439)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-4.4004569984, -4.2414685374)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-4.813107077, -4.185974296)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-4.4004569984, -4.1633204275)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-4.1633204275, -3.9979810559)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.9979810559, -3.9569844515)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.9569844515, -3.8645007605)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-3.8645007605, -3.8110521718)]
