Seed: 202232327
M = [1, 4, 5, 0]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361805, -9.911863808540128)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361678, -9.911863808540124)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361678, -9.911863808540124)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361678, -9.911863808540124)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361678, -9.911863808540124)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936168, -9.911863808540124)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936168, -9.911863808540124)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936139, -9.911863808540126)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936139, -9.911863808540126)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936129, -9.911863808540126)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.9495872093615, -9.911863808540128)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.9495872093615, -9.911863808540128)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361326, -9.911863808540128)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936174, -9.911863808540126)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936174, -9.911863808540126)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936147, -9.911863808540122)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936147, -9.911863808540122)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936148, -9.911863808540117)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361432, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361432, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361432, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361432, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361432, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361432, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361457, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361457, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361457, -9.911863808540131)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361695, -9.911863808540126)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361475, -9.911863808540128)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361475, -9.911863808540128)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936142, -9.911863808540128)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936151, -9.911863808540119)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361585, -9.911863808540136)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361255, -9.911863808540136)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.94958720936162, -9.911863808540135)]
M != Mz | [0, 6, 3, 1] |fs: [(-20.949587209361496, -9.911863808540124)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540124, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540124, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540126, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.598482077812463)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540126, -3.5984820778124593)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540126, -3.5984820778124593)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540126, -3.5984820778124593)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854013, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540133, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540133, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540133, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540133, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540128, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854013, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854013, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854013, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540131, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.5984820778124624)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.5984820778124624)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.5984820778124624)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540142, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854014, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540135, -3.59848207781246)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540145, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540145, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540133, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854014, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854014, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854014, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854014, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540145, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540145, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540142, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540142, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540142, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854014, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540145, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540135, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540135, -3.598482077812462)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540133, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540138, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540147, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540147, -3.59848207781246)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540149, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540152, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540152, -3.5984820778124607)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540152, -3.5984820778124593)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854015, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854015, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540149, -3.598482077812461)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540156, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540156, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540156, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540156, -3.5984820778124598)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540152, -3.5984820778124633)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854015, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.91186380854015, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540149, -3.5984820778124615)]
M != Mz | [0, 6, 3, 5] |fs: [(-9.911863808540145, -3.598482077812462)]
